Tag,Incident,Date,Privacy(Y/N),Impact,Sentiments,Agency,Keyword
CIA Director Takes Negative Tone on Group Trump Has Praised,CIA-Wikileaks,2017-04-14,Y,World,Negative,CIA,CIA Privacy
CIA Director Calls WikiLeaks 'Hostile Intelligence Service',CIA-Wikileaks,2017-04-13,Y,World,Negative,CIA,CIA Privacy
Obama Aide Denies Using Intel to Spy on Trump Advisers,,2017-04-04,Y,US Government,Negative,CIA+US Govt.,CIA Privacy
"Trump Changes Relationship Between White House, Spy Agencies",Trump-Russia,2017-04-01,Y,US Government,Negative,US Govt.,CIA Privacy
"Trump's Approach to Intel Agencies Shows Anxiety, Distrust",Trump-Russia,2017-03-31,Y,US Government,Negative,US Govt.,CIA Privacy
Apple: Software Flaws in Latest WikiLeaks Docs Are All Fixed,CIA-Wikileaks,2017-03-24,Y,World,Positive,Apple+CIA,CIA Privacy
Trump's Russian Imbroglio Prompts Republican Rethink on Surveillance Law,Trump-Russia,2017-03-20,Y,World,Neutral,US + Russia Govt.,CIA Privacy
Yahoo Breach Indictments May Shed Light on Other Hacks,Yahoo Breach,2017-03-16,Y,World,Positive,CIA+Yahoo,CIA Privacy
"Russian Agents, Hackers Charged in Massive Yahoo Breach",Yahoo Breach,2017-03-15,Y,World,Negative,Russia+CIA+Yahoo,CIA Privacy
"Who and Why, Twin Mysteries Behind Leak of CIA's Cybertools",CIA-Wikileaks,2017-03-12,Y,US Citizens,Negative,CIA-Wikileaks,CIA Privacy
What the CIA WikiLeaks Dump Tells Us: Encryption Works,CIA-Wikileaks,2017-03-11,N,None,Neutral,CIA-Wikileaks,CIA Privacy
WikiLeaks Offers CIA Hacking Tools to Tech Companies-Assange,CIA-Wikileaks,2017-03-09,Y,Tech Industry,Positive,CIA-Wikileaks,CIA Privacy
CIA Leaks Bolster Case for Privacy Treaty: UN Expert,CIA-Wikileaks,2017-03-09,Y,World,Negative,CIA-Wikileaks+UN,CIA Privacy
WikiLeaks Aid on CIA Software Holes Could Be Mixed Blessing,CIA-Wikileaks,2017-03-09,N,Tech Industry,Positive,CIA-Wikileaks,CIA Privacy
CIA Contractors Likely Source of Latest WikiLeaks Release-U.S. Officials,CIA-Wikileaks,2017-03-08,Y,World,Negative,CIA-Wikileaks,CIA Privacy
U.N. Expert Urges States to Work Toward Cyber Surveillance Treaty,,2017-03-08,Y,World,Positive,UN,CIA Privacy
WikiLeaks Fallout: Should You Worry About Alleged CIA Hacks?,,2017-03-08,Y,World,Neutral,CIA+Wikileaks,CIA Privacy
WikiLeaks: CIA Has Targeted Everyday Gadgets for Snooping,CIA-Wikileaks,2017-03-07,Y,World,Negative,CIA+Wikileaks,CIA Privacy
CIA Unveils New Rules for Collecting Information on Americans,CIA Info gather rule,2017-01-18,Y,US Citizens,Neutral,CIA,CIA Privacy
CIA Publishes Guidelines for Handling Americans' Info,CIA info gather rule,2017-01-18,Y,US Citizens,Neutral,CIA ,CIA Privacy
"Gunman Shoots, Wounds US Consular Official in Mexico",,2017-01-07,N,None,Negative,US Govt.,CIA Privacy
Yahoo Email Scan Shows U.S. Spy Push to Recast Constitutional Privacy,,2016-12-21,Y,World,Negative,Yahoo+US Govt.,CIA Privacy
NSA Watchdog on Leave in Whistleblower Case,,2016-12-19,N,None,Neutral,NSA,CIA Privacy
The Latest: Senate to Hold Hearing on Election Meddling,,2016-12-14,N,None,Neutral,US Govt.,CIA Privacy
"Shifting US Policy to Right, Trump Taps Sessions, Flynn",,2016-11-18,N,US Citizens,Neutral,US Govt.,CIA Privacy
Iran Releases Canadian-Iranian Professor Held Since June,,2016-09-26,N,None,Neutral,Iran+Canada,CIA Privacy
Lawmakers Say Snowden Is No Whistleblower,US Committee-Snowden,2016-09-16,N,None,Neutral,NSA+US Govt.,CIA Privacy
U.S. House Panel Slams Former NSA Contractor Snowden,US Committee-Snowden,2016-09-15,Y,US Government,Negative,NSA+US Govt.,CIA Privacy
Congressional Report Slams NSA Leaker Edward Snowden,US Committee-Snowden,2016-09-15,N,US Government,Negative,NSA+US Govt.,CIA Privacy
"U.S. Senator, Opposing FBI Email Data Grabs, Places Hold on Spy Bill",,2016-06-27,Y,US Government,Neutral,FBI,CIA Privacy
CIA Director: US Hasn't Been Able to Curb IS Global Reach,,2016-06-16,N,World,Negative,CIA,CIA Privacy
Whistleblower Snowden Gets Big Screen Treatment,,2016-04-27,N,World,Neutral,NSA,CIA Privacy
Judge Seals Most Files in Court Case Over CIA Sex Case Leaks,CIA Sex Case Leaks,2016-04-15,Y,US Government,Neutral,CIA,CIA Privacy
US Asks Judge to Seal Files in Case Over CIA Sex Case Leaks,CIA Sex Case Leaks,2016-04-08,Y,US Government,Neutral,CIA,CIA Privacy
Judge Considers Unsealing Court File in CIA Sex Scandal Case,CIA Sex Case Leaks,2016-04-05,Y,US Government,Neutral,CIA,CIA Privacy
Fla. Woman Ends Lawsuit Tied to Petraeus Resignation,Petraeus Resignation,2016-03-24,N,None,Neutral,CIA,CIA Privacy
The Latest: Prosecutors Say 6 Arrested in Brussels Attacks,Brussels Attack,2016-03-24,N,World,Positive,Belgium Govt.,CIA Privacy
U.S. Frustration Simmers Over Belgium's Struggle With Militant Threat,Brussels Attack,2016-03-24,N,World,Neutral,Belgium Govt.,CIA Privacy
"CIA Director's Email: 'Something Terrible, Dishonorable",Petraeus Resignation,2016-03-23,Y,US,Negative,CIA,CIA Privacy
Lawyers Abandon Federal Lawsuit Over CIA Head's Resignation,Petraeus Resignation,2016-03-18,N,None,Neutral,CIA,CIA Privacy
German Spy Convicted of Selling Classified Documents to CIA,German Spy+CIA,2016-03-17,Y,World,Negative,CIA+Germany,CIA Privacy
Apple Opposes Order to Help Unlock California Shooter's Phone,Apple-FBI,2016-02-17,Y,World,Positive,FBI+Apple,CIA Privacy
Apple Ordered to Aid FBI in Unlocking California Shooter's Phone,Apple-FBI,2016-02-16,Y,World,Negative,FBI+Apple,CIA Privacy
Massive Year-End Spending Bill Includes Cybersecurity Act,,2015-12-16,Y,US,Neutral,US Govt.,CIA Privacy
The Latest: 4 Suspects Sought in Geneva Said to Have IS Ties,Paris Attacks,2015-12-10,N,World,Neutral,France Govt.,CIA Privacy
